date,firm_id,equity_vol
2020-01-01,FIRM_A,0.2198
2020-01-02,FIRM_A,0.2127
2020-01-03,FIRM_A,0.2213
2020-01-06,FIRM_A,0.2115
2020-01-07,FIRM_A,0.1975
2020-01-08,FIRM_A,0.2194
2020-01-09,FIRM_A,0.2306
2020-01-10,FIRM_A,0.1995
2020-01-13,FIRM_A,0.2022
2020-01-14,FIRM_A,0.2142
2020-01-15,FIRM_A,0.2097
2020-01-16,FIRM_A,0.2222
2020-01-17,FIRM_A,0.2121
2020-01-20,FIRM_A,0.2045
2020-01-21,FIRM_A,0.2067
2020-01-22,FIRM_A,0.2004
2020-01-23,FIRM_A,0.2077
2020-01-24,FIRM_A,0.2166
2020-01-27,FIRM_A,0.2337
2020-01-28,FIRM_A,0.2163
2020-01-29,FIRM_A,0.1974
2020-01-30,FIRM_A,0.2246
2020-01-31,FIRM_A,0.197
2020-02-03,FIRM_A,0.2224
2020-02-04,FIRM_A,0.1685
2020-02-05,FIRM_A,0.2152
2020-02-06,FIRM_A,0.2115
2020-02-07,FIRM_A,0.2162
2020-02-10,FIRM_A,0.2477
2020-02-11,FIRM_A,0.232
2020-02-12,FIRM_A,0.2191
2020-02-13,FIRM_A,0.1946
2020-02-14,FIRM_A,0.2061
2020-02-17,FIRM_A,0.2035
2020-02-18,FIRM_A,0.2262
2020-02-19,FIRM_A,0.2044
2020-02-20,FIRM_A,0.2291
2020-02-21,FIRM_A,0.1883
2020-02-24,FIRM_A,0.2513
2020-02-25,FIRM_A,0.2276
2020-02-26,FIRM_A,0.2008
2020-02-27,FIRM_A,0.2366
2020-02-28,FIRM_A,0.2082
2020-03-02,FIRM_A,0.2125
2020-03-03,FIRM_A,0.2137
2020-03-04,FIRM_A,0.2059
2020-03-05,FIRM_A,0.2028
2020-03-06,FIRM_A,0.2177
2020-03-09,FIRM_A,0.2219
2020-03-10,FIRM_A,0.2368
2020-03-11,FIRM_A,0.2007
2020-03-12,FIRM_A,0.2236
2020-03-13,FIRM_A,0.2199
2020-03-16,FIRM_A,0.2297
2020-03-17,FIRM_A,0.1686
2020-03-18,FIRM_A,0.2356
2020-03-19,FIRM_A,0.2175
2020-03-20,FIRM_A,0.2415
2020-03-23,FIRM_A,0.2241
2020-03-24,FIRM_A,0.2166
2020-03-25,FIRM_A,0.2251
2020-03-26,FIRM_A,0.207
2020-03-27,FIRM_A,0.202
2020-03-30,FIRM_A,0.2501
2020-03-31,FIRM_A,0.2422
2020-04-01,FIRM_A,0.187
2020-04-02,FIRM_A,0.1877
2020-04-03,FIRM_A,0.2354
2020-04-06,FIRM_A,0.2225
2020-04-07,FIRM_A,0.2165
2020-04-08,FIRM_A,0.2409
2020-04-09,FIRM_A,0.2302
2020-04-10,FIRM_A,0.2001
2020-04-13,FIRM_A,0.2097
2020-04-14,FIRM_A,0.1666
2020-04-15,FIRM_A,0.2022
2020-04-16,FIRM_A,0.2271
2020-04-17,FIRM_A,0.1603
2020-04-20,FIRM_A,0.2322
2020-04-21,FIRM_A,0.221
2020-04-22,FIRM_A,0.2134
2020-04-23,FIRM_A,0.2482
2020-04-24,FIRM_A,0.207
2020-04-27,FIRM_A,0.231
2020-04-28,FIRM_A,0.2063
2020-04-29,FIRM_A,0.2096
2020-04-30,FIRM_A,0.2123
2020-05-01,FIRM_A,0.2364
2020-05-04,FIRM_A,0.2127
2020-05-05,FIRM_A,0.2179
2020-05-06,FIRM_A,0.2307
2020-05-07,FIRM_A,0.1868
2020-05-08,FIRM_A,0.2178
2020-05-11,FIRM_A,0.186
2020-05-12,FIRM_A,0.2241
2020-05-13,FIRM_A,0.2296
2020-05-14,FIRM_A,0.2352
2020-05-15,FIRM_A,0.193
2020-05-18,FIRM_A,0.233
2020-05-19,FIRM_A,0.2317
2020-05-20,FIRM_A,0.2221
2020-05-21,FIRM_A,0.255
2020-05-22,FIRM_A,0.2507
2020-05-25,FIRM_A,0.1943
2020-05-26,FIRM_A,0.2334
2020-05-27,FIRM_A,0.246
2020-05-28,FIRM_A,0.206
2020-05-29,FIRM_A,0.1954
2020-06-01,FIRM_A,0.2124
2020-06-02,FIRM_A,0.184
2020-06-03,FIRM_A,0.2268
2020-06-04,FIRM_A,0.2183
2020-06-05,FIRM_A,0.223
2020-06-08,FIRM_A,0.2409
2020-06-09,FIRM_A,0.2122
2020-06-10,FIRM_A,0.1933
2020-06-11,FIRM_A,0.2163
2020-06-12,FIRM_A,0.2296
2020-06-15,FIRM_A,0.2323
2020-06-16,FIRM_A,0.2331
2020-06-17,FIRM_A,0.2271
2020-06-18,FIRM_A,0.2452
2020-06-19,FIRM_A,0.2199
