date,firm_id,equity_price
2020-01-01,FIRM_A,142.93
2020-01-02,FIRM_A,142.31
2020-01-03,FIRM_A,143.23
2020-01-06,FIRM_A,145.43
2020-01-07,FIRM_A,145.01
2020-01-08,FIRM_A,146.74
2020-01-09,FIRM_A,146.07
2020-01-10,FIRM_A,146.23
2020-01-13,FIRM_A,146.19
2020-01-14,FIRM_A,148.73
2020-01-15,FIRM_A,148.08
2020-01-16,FIRM_A,146.18
2020-01-17,FIRM_A,144.29
2020-01-20,FIRM_A,145.06
2020-01-21,FIRM_A,145.59
2020-01-22,FIRM_A,143.65
2020-01-23,FIRM_A,144.47
2020-01-24,FIRM_A,145.72
2020-01-27,FIRM_A,144.72
2020-01-28,FIRM_A,144.66
2020-01-29,FIRM_A,143.63
2020-01-30,FIRM_A,138.66
2020-01-31,FIRM_A,136.74
2020-02-03,FIRM_A,135.98
2020-02-04,FIRM_A,134.23
2020-02-05,FIRM_A,135.75
2020-02-06,FIRM_A,134.26
2020-02-07,FIRM_A,133.69
2020-02-10,FIRM_A,132.42
2020-02-11,FIRM_A,132.91
2020-02-12,FIRM_A,133.05
2020-02-13,FIRM_A,134.53
2020-02-14,FIRM_A,136.45
2020-02-17,FIRM_A,136.0
2020-02-18,FIRM_A,135.97
2020-02-19,FIRM_A,134.32
2020-02-20,FIRM_A,134.78
2020-02-21,FIRM_A,136.54
2020-02-24,FIRM_A,136.31
2020-02-25,FIRM_A,138.63
2020-02-26,FIRM_A,140.51
2020-02-27,FIRM_A,141.75
2020-02-28,FIRM_A,138.61
2020-03-02,FIRM_A,137.38
2020-03-03,FIRM_A,134.52
2020-03-04,FIRM_A,135.82
2020-03-05,FIRM_A,133.21
2020-03-06,FIRM_A,135.92
2020-03-09,FIRM_A,134.56
2020-03-10,FIRM_A,133.95
2020-03-11,FIRM_A,133.74
2020-03-12,FIRM_A,133.23
2020-03-13,FIRM_A,132.24
2020-03-16,FIRM_A,131.63
2020-03-17,FIRM_A,131.73
2020-03-18,FIRM_A,133.02
2020-03-19,FIRM_A,134.3
2020-03-20,FIRM_A,131.76
2020-03-23,FIRM_A,132.28
2020-03-24,FIRM_A,132.83
2020-03-25,FIRM_A,131.23
2020-03-26,FIRM_A,129.94
2020-03-27,FIRM_A,130.7
2020-03-30,FIRM_A,134.13
2020-03-31,FIRM_A,133.6
2020-04-01,FIRM_A,132.41
2020-04-02,FIRM_A,130.78
2020-04-03,FIRM_A,128.64
2020-04-06,FIRM_A,130.35
2020-04-07,FIRM_A,131.7
2020-04-08,FIRM_A,130.93
2020-04-09,FIRM_A,133.93
2020-04-10,FIRM_A,136.85
2020-04-13,FIRM_A,135.01
2020-04-14,FIRM_A,134.88
2020-04-15,FIRM_A,132.4
2020-04-16,FIRM_A,133.28
2020-04-17,FIRM_A,131.76
2020-04-20,FIRM_A,131.76
2020-04-21,FIRM_A,131.78
2020-04-22,FIRM_A,130.26
2020-04-23,FIRM_A,129.47
2020-04-24,FIRM_A,131.63
2020-04-27,FIRM_A,132.37
2020-04-28,FIRM_A,133.39
2020-04-29,FIRM_A,134.73
2020-04-30,FIRM_A,135.35
2020-05-01,FIRM_A,131.88
2020-05-04,FIRM_A,132.36
2020-05-05,FIRM_A,130.67
2020-05-06,FIRM_A,128.67
2020-05-07,FIRM_A,126.53
2020-05-08,FIRM_A,127.94
2020-05-11,FIRM_A,127.41
2020-05-12,FIRM_A,125.74
2020-05-13,FIRM_A,123.67
2020-05-14,FIRM_A,122.93
2020-05-15,FIRM_A,124.44
2020-05-18,FIRM_A,125.03
2020-05-19,FIRM_A,124.27
2020-05-20,FIRM_A,126.39
2020-05-21,FIRM_A,123.44
2020-05-22,FIRM_A,123.8
2020-05-25,FIRM_A,125.58
2020-05-26,FIRM_A,126.36
2020-05-27,FIRM_A,129.0
2020-05-28,FIRM_A,130.34
2020-05-29,FIRM_A,128.46
2020-06-01,FIRM_A,128.91
2020-06-02,FIRM_A,125.84
2020-06-03,FIRM_A,127.13
2020-06-04,FIRM_A,128.27
2020-06-05,FIRM_A,127.91
2020-06-08,FIRM_A,132.75
2020-06-09,FIRM_A,132.67
2020-06-10,FIRM_A,130.28
2020-06-11,FIRM_A,130.92
2020-06-12,FIRM_A,130.18
2020-06-15,FIRM_A,128.94
2020-06-16,FIRM_A,130.23
2020-06-17,FIRM_A,129.71
2020-06-18,FIRM_A,127.42
2020-06-19,FIRM_A,130.1
2020-06-22,FIRM_A,129.82
2020-06-23,FIRM_A,129.64
2020-06-24,FIRM_A,131.95
2020-06-25,FIRM_A,130.48
